Date,Patch,Blue,Red,Winner,Loser,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Length,Blue_Gold,Blue_Kills,Blue_Towers,Blue_Dragons,Blue_Barons,Blue_RiftHerald,Red_Gold,Red_Kills,Red_Towers,Red_Dragons,Red_Barons,Red_RiftHerald,Diff_Gold,Diff_Kills,Diff_Towers,Diff_Dragons,Diff_Barons,Diff_RiftHerald,Tournament,Match of the Season
2017-03-10,7.4,eUnited,Big Gods Jackals,blue,,"Malzahar, Cassiopeia, Ashe, Shen, Varus","LeBlanc, Camille, Jayce, Graves, Ryze","Renekton, Rengar, Ahri, Ezreal, Soraka","Rumble, Kha'Zix, Taliyah, Sivir, Karma","Licorice,Gilius,Fox,Deftly,Zeyzal","RF Legendary,Wiggily,Pekin Woof,fabbbyyy,Baiano",28:05,56400,14,9,1,1,0,41000,4,0,1,0,0,15400,10,9,0,1,0,NACS-2017-Spring-Playoffs,5
2017-03-10,7.4,Big Gods Jackals,eUnited,red,,"Lulu, Jhin, Caitlyn, Jayce, LeBlanc","Varus, Rumble, Orianna, Malzahar, Rengar","Renekton, Graves, Cassiopeia, Ashe, Karma","Shen, Lee Sin, Ryze, Ezreal, Soraka","RF Legendary,Wiggily,Pekin Woof,fabbbyyy,Baiano","Licorice,Gilius,Fox,Deftly,Zeyzal",25:09,37400,2,0,0,0,0,50500,14,9,2,1,0,-13100,-12,-9,-2,-1,0,NACS-2017-Spring-Playoffs,4
2017-03-09,7.4,Gold Coin United,Tempo Storm,blue,,"Malzahar, Renekton, Sion, Ezreal, Elise","LeBlanc, Orianna, Shen, Ryze, Cassiopeia","Rumble, Rengar, Jayce, Varus, Karma","Camille, Graves, Syndra, Sivir, Lulu","Solo,Santorin,Fenix,Mash,Madlife","Quas,Zentinel,Hatrixx,Freeze,Sheep",38:00,72500,8,10,5,1,0,60300,4,3,0,0,0,12200,4,7,5,1,0,NACS-2017-Spring-Playoffs,3
2017-03-09,7.4,Tempo Storm,Gold Coin United,red,,"Ryze, Jayce, Nami, Rengar, Cassiopeia","Varus, Sion, Nautilus, LeBlanc, Malzahar","Renekton, Graves, Vladimir, Ezreal, Karma","Rumble, Kha'Zix, Syndra, Caitlyn, Soraka","Quas,Zentinel,Hatrixx,Freeze,Sheep","Solo,Santorin,Fenix,Mash,Madlife",58:50,102800,17,7,1,1,0,109700,14,11,5,2,0,-6900,3,-4,-4,-1,0,NACS-2017-Spring-Playoffs,2
2017-03-09,7.4,Gold Coin United,Tempo Storm,blue,,"Malzahar, Thresh, Syndra, Sion, Elise","LeBlanc, Orianna, Nami, Ryze, Rumble","Renekton, Rengar, Cassiopeia, Varus, Soraka","Swain, Graves, Viktor, Ashe, Karma","Solo,Santorin,Fenix,Mash,Madlife","Quas,Zentinel,Hatrixx,Freeze,Sheep",36:05,72500,13,11,2,2,1,52400,1,0,1,0,0,20100,12,11,1,2,1,NACS-2017-Spring-Playoffs,1
2016-12-15,6.24,Delta Fox,Toronto eSports,blue,,"Ivern, Jhin, Varus, Malzahar","Olaf, Rek'Sai, Kha'Zix, Syndra","Poppy, Elise, Ryze, Ashe, Karma","Nautilus, Lee Sin, Orianna, Caitlyn, Zyra","Allorim,Grigne,Damonte,Shynon,1onz","GAIY,Bananas,jhEEsh,Erry,JayJ",37:12,74300,20,10,4,2,0,60700,17,3,1,0,0,13600,3,7,3,2,0,NACS-2017-Spring-Qualifiers,6
2016-12-15,6.24,Big Gods Jackals,TeamÊSecret,blue,,"Karma, Jhin, Varus, Zyra, Riven","Varus, Rek'Sai, Kha'Zix, Ryze, Poppy","Nautilus, Rengar, Syndra, Ashe, Tahm Kench","Jayce, Fiddlesticks, Fizz, Caitlyn, Braum","RF Legendary,Wiggily,Pekin Woof,Tails,KonKwon","Revenge,Metaphor,Insanity,Flamboozle,Clown",35:37,71800,31,9,4,1,0,54700,8,0,0,1,0,17100,23,9,4,0,0,NACS-2017-Spring-Qualifiers,5
2016-12-15,6.24,Toronto eSports,Delta Fox,red,,"Olaf, Jhin, Varus, Ekko, Rek'Sai","Ivern, Rek'Sai, Kha'Zix, Jhin, Malzahar","Nautilus, Hecarim, Syndra, Caitlyn, Karma","Poppy, Lee Sin, LeBlanc, Ashe, Zyra","GAIY,Bananas,jhEEsh,Erry,JayJ","Allorim,Grigne,Damonte,Shynon,1onz",49:09,80600,10,3,1,1,0,95400,28,11,4,2,0,-14800,-18,-8,-3,-1,0,NACS-2017-Spring-Qualifiers,4
2016-12-15,6.24,TeamÊSecret,Big Gods Jackals,red,,"LeBlanc, Jhin, Varus, Jayce, Lulu","Syndra, Rek'Sai, Kha'Zix, Zyra, Riven","Fiora, Zac, Ryze, Caitlyn, Janna","Poppy, Olaf, Orianna, Varus, Karma","Revenge,Metaphor,Insanity,Flamboozle,Clown","RF Legendary,Wiggily,Pekin Woof,Tails,KonKwon",43:59,73600,11,1,1,2,0,85100,30,11,3,1,0,-11500,-19,-10,-2,1,0,NACS-2017-Spring-Qualifiers,3
2016-12-14,6.24,Delta Fox,Toronto eSports,blue,,"Ivern, Jhin, Varus, Malzahar","Olaf, Rek'Sai, Kha'Zix, Syndra","Poppy, Lee Sin, Ryze, Ashe, Karma","Nautilus, Rengar, Orianna, Caitlyn, Zyra","Allorim,Grigne,Damonte,Shynon,1onz","GAIY,Bananas,jhEEsh,Erry,JayJ",42:06,80100,17,8,3,2,0,68500,16,3,1,0,0,11600,1,5,2,2,0,NACS-2017-Spring-Qualifiers,2
2016-12-14,6.24,Big Gods Jackals,TeamÊSecret,blue,,"Karma, Jhin, Varus, Zyra, Riven","LeBlanc, Rek'Sai, Kha'Zix, Jayce, Ryze","Poppy, Rengar, Syndra, Varus, Lulu","Fiora, Nunu, Orianna, Caitlyn, Janna","RF Legendary,Wiggily,Pekin Woof,Tails,KonKwon","Revenge,Metaphor,Insanity,Flamboozle,Clown",31:10,65400,22,11,2,1,1,46300,8,1,2,0,0,19100,14,10,0,1,1,NACS-2017-Spring-Qualifiers,1
2017-07-14,7.13,Big Gods Jackals,eUnited,red,,"LeBlanc, Orianna, Ashe, Rek'Sai, Tahm Kench","Zac, Yasuo, Bard, Caitlyn, Elise","Galio, Kha'Zix, Corki, Tristana, Thresh","Gnar, Gragas, Taliyah, Sivir, Morgana","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","Licorice,DanDy,GBM,deftly,Zeyzal",48:56,86700,18,7,4,2,0,88100,17,8,1,0,0,-1400,1,-1,3,2,0,NACS-2017-Summer,70
2017-07-13,7.13,eUnited,Big Gods Jackals,blue,,"Caitlyn, Corki, Kassadin, Rek'Sai, Yasuo","Ashe, Galio, Jhin, LeBlanc, Zac","Gnar, Elise, Vladimir, Sivir, Thresh","Kled, Gragas, Orianna, Tristana, Braum","Licorice,DanDy,GBM,deftly,Zeyzal","Cris,SirT,Pekin Woof,fabbbyyy,Baiano",43:22,83000,12,10,4,1,1,69100,7,3,0,0,0,13900,5,7,4,1,1,NACS-2017-Summer,69
2017-07-13,7.13,Delta Fox,Gold Coin United,red,,"Caitlyn, Morgana, Braum, Thresh, Elise","Zac, Lucian, Twitch, Cassiopeia, Blitzcrank","Rumble, Sejuani, Tristana, Jhin, Bard","Gnar, Nunu, Galio, Xayah, Rakan","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur","Solo,Santorin,Fly,Rikara,Madlife",30:15,45600,5,1,0,0,0,58500,13,10,3,2,1,-12900,-8,-9,-3,-2,-1,NACS-2017-Summer,68
2017-07-13,7.13,Gold Coin United,Delta Fox,blue,,"Cassiopeia, Viktor, Lucian, Blitzcrank, Sejuani","LeBlanc, Orianna, Morgana, Zac, Thresh","Gnar, Elise, Galio, Caitlyn, Braum","Renekton, Warwick, Kassadin, Kalista, Bard","Solo,Santorin,Fly,Rikara,Madlife","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur",22:57,49200,18,10,2,1,1,33100,2,0,0,0,0,16100,16,10,2,1,1,NACS-2017-Summer,67
2017-07-13,7.13,CLG Academy,Tempo Storm,red,,"LeBlanc, Vladimir, Corki, Swain, Thresh","Zac, Orianna, Corki, Rumble, Renekton","Fiora, Nidalee, Lucian, Caitlyn, Braum","Jayce, Elise, Karma, Ashe, Janna","FallenBandit,Im Jonny,Tuesday,Zag,Fill","Quas,Wiggily,Selfie,Freeze,Sheep",27:33,44300,8,3,1,0,0,55400,12,9,2,1,0,-11100,-4,-6,-1,-1,0,NACS-2017-Summer,66
2017-07-13,7.13,Delta Fox,Gold Coin United,blue,,"Elise, Brand, Vladimir, Thresh, Caitlyn","Zac, Tristana, Viktor, Cassiopeia, Nunu","Gnar, Sejuani, Orianna, Twitch, Blitzcrank","Jarvan IV, Gragas, Karthus, Kalista, Morgana","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur","Solo,Santorin,rjsdndgod,Rikara,Madlife",45:04,88200,25,10,1,2,0,82700,28,6,3,1,1,5500,-3,4,-2,1,-1,NACS-2017-Summer,65
2017-07-13,7.13,Tempo Storm,CLG Academy,blue,,"Fiora, Gnar, Orianna, Jarvan IV, Rumble","Zac, Illaoi, Corki, Caitlyn, Elise","Swain, Rek'Sai, Viktor, Jayce, Thresh","Kennen, Gragas, LeBlanc, Lucian, Braum","Quas,Wiggily,Selfie,Reven,Sheep","FallenBandit,Im Jonny,Tuesday,Zag,Fill",24:33,50100,19,11,2,0,0,36600,7,1,0,0,1,13500,12,10,2,0,-1,NACS-2017-Summer,64
2017-07-12,7.13,Delta Fox,Tempo Storm,red,,"LeBlanc, Orianna, Illaoi, Thresh, Elise","Kalista, Rumble, Camille, Zac, Blitzcrank","Gnar, Warwick, Cassiopeia, Lucian, Bard","Jayce, Gragas, Viktor, Caitlyn, Tahm Kench","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur","Quas,Wiggily,Selfie,Reven,Sheep",48:11,88200,16,7,2,2,1,90100,13,10,3,1,0,-1900,3,-3,-1,1,1,NACS-2017-Summer,63
2017-07-12,7.13,eUnited,Gold Coin United,red,,"Rakan, Yasuo, Cassiopeia, Kassadin, Rek'Sai","Zac, LeBlanc, Vladimir, Caitlyn, Elise","Gnar, Jarvan IV, Galio, Tristana, Braum","Fiora, Gragas, Orianna, Kalista, Thresh","Licorice,DanDy,GBM,deftly,Zeyzal","Solo,Santorin,Fly,Rikara,Madlife",41:02,70200,11,5,0,1,0,79500,22,9,3,1,0,-9300,-11,-4,-3,0,0,NACS-2017-Summer,62
2017-07-12,7.13,Big Gods Jackals,CLG Academy,blue,,"LeBlanc, Zyra, Karma, Galio, Zac","Kennen, Kled, Varus","Gragas, Rek'Sai, Corki, Caitlyn, Braum","Gnar, Elise, Orianna, Ashe, Bard","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","FallenBandit,Im Jonny,Tuesday,Zag,Fill",24:22,48800,15,11,1,0,1,34800,4,1,0,0,0,14000,11,10,1,0,1,NACS-2017-Summer,61
2017-07-12,7.13,Tempo Storm,Delta Fox,blue,,"Akali, Caitlyn, Cassiopeia, Gragas, Kalista","Elise, Illaoi, LeBlanc, Thresh, Zac","Jax, Rek'Sai, Karma, Lucian, Blitzcrank","Gnar, Nunu, Viktor, Tristana, Braum","Quas,Wiggily,Selfie,Reven,Sheep","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur",27:47,58900,21,11,2,1,1,41700,4,0,1,0,0,17200,17,11,1,1,1,NACS-2017-Summer,60
2017-07-12,7.13,CLG Academy,Big Gods Jackals,red,,"LeBlanc, Kennen","Zac, Ashe, Varus, Galio, Caitlyn","Gnar, Gragas, Orianna, Twitch, Karma","Kled, Elise, Corki, Tristana, Braum","FallenBandit,Im Jonny,Tuesday,Zag,Fill","Cris,SirT,Pekin Woof,fabbbyyy,Baiano",43:45,71900,9,4,0,1,1,81500,10,11,4,1,0,-9600,-1,-7,-4,0,1,NACS-2017-Summer,59
2017-07-12,7.13,Delta Fox,Tempo Storm,blue,,"LeBlanc, Syndra, Illaoi, Thresh, Elise","Gragas, Jayce, Camille, Nunu, Zac","Rumble, Warwick, Lucian, Kalista, Blitzcrank","Galio, Rek'Sai, Orianna, Caitlyn, Braum","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur","Quas,Wiggily,Selfie,Reven,Sheep",34:46,68700,15,10,1,2,0,56100,7,2,2,0,1,12600,8,8,-1,2,-1,NACS-2017-Summer,58
2017-07-12,7.13,Gold Coin United,eUnited,blue,,"Camille, Jarvan IV, LeBlanc, Lucian, Vladimir","Ashe, Caitlyn, Galio, Tristana, Zac","Gnar, Elise, Orianna, Xayah, Braum","Fiora, Rek'Sai, Xerath, Kalista, Thresh","Solo,Santorin,Fly,Rikara,Madlife","Licorice,DanDy,GBM,deftly,Zeyzal",51:12,95200,12,10,3,2,0,90800,8,6,1,1,1,4400,4,4,2,1,-1,NACS-2017-Summer,57
2017-06-30,7.12,Tempo Storm,Gold Coin United,red,,"Taliyah, Jhin, Tahm Kench, Caitlyn, Rakan","Zac, Gnar, Braum, Galio, Illaoi","Jayce, Elise, Orianna, Lucian, Blitzcrank","Renekton, Rek'Sai, Syndra, Tristana, Thresh","Quas,Wiggily,Selfie,Reven,Sheep","Solo,Santorin,Fly,Rikara,Madlife",49:41,88200,8,5,2,2,0,95200,19,10,4,2,1,-7000,-11,-5,-2,0,-1,NACS-2017-Summer,56
2017-06-30,7.12,Gold Coin United,Tempo Storm,blue,,"Cassiopeia, Ashe, Varus, Illaoi, LeBlanc","Zac, Gnar, Taliyah, Rakan, Galio","Rumble, Rek'Sai, Orianna, Caitlyn, Tahm Kench","Renekton, Elise, Kassadin, Kalista, Thresh","Solo,Santorin,Fly,Rikara,Madlife","Quas,Wiggily,Selfie,Reven,Sheep",38:03,75500,17,11,3,2,0,66900,13,5,2,0,1,8600,4,6,1,2,-1,NACS-2017-Summer,55
2017-06-29,7.12,Tempo Storm,Gold Coin United,blue,,"Taliyah, Syndra, LeBlanc, Caitlyn, Rakan","Zac, Gnar, Kennen, Galio, Cassiopeia","Illaoi, Elise, Orianna, Jayce, Thresh","Renekton, Rek'Sai, Corki, Jhin, Tahm Kench","Quas,Wiggily,Selfie,Reven,Sheep","Solo,Santorin,Fly,Rikara,Madlife",46:51,86600,12,9,3,2,1,81400,11,7,2,1,0,5200,1,2,1,1,1,NACS-2017-Summer,54
2017-06-29,7.12,Delta Fox,CLG Academy,red,,"LeBlanc, Syndra, Orianna, Caitlyn, Galio","Zac, Jayce, Vladimir, Taliyah, Blitzcrank","Rumble, Rek'Sai, Yasuo, Tristana, Bard","Kennen, Nidalee, Ekko, Ashe, Thresh","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur","FallenBandit,OmarGod,Tuesday,Zag,Fill",28:52,46400,14,1,0,0,1,62000,22,11,3,1,0,-15600,-8,-10,-3,-1,1,NACS-2017-Summer,53
2017-06-29,7.12,eUnited,Big Gods Jackals,blue,,"Rek'Sai, LeBlanc, Gnar, Kassadin, Ahri","Galio, Fiora, Kennen, Elise, Zyra","Shen, Zac, Vladimir, Ashe, Morgana","Kled, Gragas, Taliyah, Caitlyn, Thresh","Licorice,DanDy,GBM,deftly,Zeyzal","Cris,SirT,Pekin Woof,fabbbyyy,Baiano",39:30,80800,33,11,1,2,0,70000,22,4,2,0,1,10800,11,7,-1,2,-1,NACS-2017-Summer,52
2017-06-29,7.12,CLG Academy,Delta Fox,blue,,"LeBlanc, Kassadin, Tristana, Blitzcrank, Taliyah","Galio, Orianna, Syndra, Zac, Caitlyn","Kennen, Rek'Sai, Viktor, Ashe, Thresh","Jayce, Nunu, Cassiopeia, Jhin, Bard","FallenBandit,OmarGod,Tuesday,Zag,Fill","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur",28:17,59800,25,11,2,1,1,46700,14,2,1,0,0,13100,11,9,1,1,1,NACS-2017-Summer,51
2017-06-29,7.12,Big Gods Jackals,eUnited,red,,"Fiora, Renekton, Zyra, Zac, Kennen","Elise, Orianna, Taliyah, Galio, Kassadin","Kled, Gragas, Corki, Caitlyn, Morgana","Gnar, Rek'Sai, LeBlanc, Jhin, Braum","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","Licorice,DanDy,GBM,deftly,Zeyzal",39:22,62800,8,3,3,0,1,77600,23,8,1,2,0,-14800,-15,-5,2,-2,1,NACS-2017-Summer,50
2017-06-28,7.12,Big Gods Jackals,Tempo Storm,red,,"LeBlanc, Kennen, Cassiopeia, Galio, Zac","Taliyah, Kled, Rumble, Caitlyn, Elise","Shen, Lee Sin, Syndra, Jhin, Thresh","Illaoi, Rek'Sai, Orianna, Jayce, Blitzcrank","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","Quas,Wiggily,Selfie,Reven,Sheep",25:19,41000,8,4,1,0,1,53800,11,11,2,1,0,-12800,-3,-7,-1,-1,1,NACS-2017-Summer,49
2017-06-28,7.12,Delta Fox,Gold Coin United,red,,"LeBlanc, Kassadin, Orianna, Caitlyn, Elise","Zac, Cassiopeia, Tristana, Galio, Nunu","Kennen, Warwick, Viktor, Xayah, Thresh","Jarvan IV, Rek'Sai, Corki, Jhin, Tahm Kench","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur","Solo,Santorin,Fly,Rikara,Madlife",28:05,42200,3,0,0,0,1,58400,16,10,2,1,0,-16200,-13,-10,-2,-1,1,NACS-2017-Summer,48
2017-06-28,7.12,CLG Academy,eUnited,red,,"LeBlanc, Renekton, Kled, Rek'Sai, Fiora","Zac, Kennen, Zyra, Elise, Orianna","Rumble, Lee Sin, Lucian, Varus, Galio","Gnar, Gragas, Twisted Fate, Caitlyn, Morgana","FallenBandit,OmarGod,Tuesday,Zag,Fill","Licorice,DanDy,GBM,deftly,Zeyzal",28:38,44900,14,1,0,0,1,63900,25,11,2,1,0,-19000,-11,-10,-2,-1,1,NACS-2017-Summer,47
2017-06-28,7.12,Tempo Storm,Big Gods Jackals,blue,,"Taliyah, Braum, Morgana, Thresh, Caitlyn","Galio, Cassiopeia, LeBlanc, Blitzcrank, Elise","Renekton, Zac, Aurelion Sol, Tristana, Bard","Gnar, Rek'Sai, Orianna, Kalista, Zyra","Quas,Wiggily,Selfie,Reven,Sheep","Cris,SirT,Pekin Woof,fabbbyyy,Baiano",45:47,86500,18,11,3,1,1,77700,16,3,2,2,0,8800,2,8,1,-1,1,NACS-2017-Summer,46
2017-06-28,7.12,eUnited,CLG Academy,blue,,"Warwick, Fiora, Blitzcrank, Orianna, Olaf","Zac, Kassadin, Vladimir, Galio, Elise","Gnar, Gragas, Morgana, Caitlyn, Braum","Kennen, Rek'Sai, LeBlanc, Varus, Zyra","Licorice,DanDy,GBM,deftly,Zeyzal","FallenBandit,OmarGod,Tuesday,Zag,Fill",26:11,54800,18,10,1,1,1,41000,8,2,1,0,0,13800,10,8,0,1,1,NACS-2017-Summer,45
2017-06-28,7.12,Gold Coin United,Delta Fox,blue,,"Yasuo, Jhin, Kassadin, Cassiopeia, Nunu","Zac, Tahm Kench, Morgana, Caitlyn, LeBlanc","Renekton, Elise, Galio, Xayah, Rakan","Shen, Rek'Sai, Akali, Tristana, Thresh","Solo,Santorin,Fly,Rikara,Madlife","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur",38:50,70100,18,9,4,0,1,60900,9,3,0,0,0,9200,9,6,4,0,1,NACS-2017-Summer,44
2017-06-23,7.12,CLG Academy,Tempo Storm,red,,"Thresh, Syndra, Cassiopeia, Elise, LeBlanc","Warwick, Orianna, Taliyah, Galio, Zac","Rumble, Gragas, Viktor, Jhin, Braum","Swain, Jarvan IV, Fizz, Caitlyn, Blitzcrank","FallenBandit,OmarGod,Tuesday,Zag,Fill","Quas,Wiggily,Selfie,Reven,Sheep",23:55,35000,5,2,0,0,1,49100,21,9,3,0,0,-14100,-16,-7,-3,0,1,NACS-2017-Summer,43
2017-06-23,7.12,Tempo Storm,CLG Academy,blue,,"Fiora, Syndra, Braum, Gragas, Warwick","Thresh, Varus, Jhin, Zac, Galio","Jayce, Elise, Orianna, Lucian, Blitzcrank","Rumble, Olaf, Viktor, Caitlyn, Sejuani","Quas,Wiggily,Selfie,Reven,Sheep","FallenBandit,OmarGod,Tuesday,Zag,Fill",23:12,47800,15,10,2,1,1,33900,6,1,0,0,0,13900,9,9,2,1,1,NACS-2017-Summer,42
2017-06-22,7.12,CLG Academy,Tempo Storm,blue,,"Thresh, Rakan, Illaoi, Elise, LeBlanc","Warwick, Syndra, Taliyah, Gragas, Zac","Rumble, Olaf, Galio, Jhin, Blitzcrank","Swain, Rek'Sai, Orianna, Caitlyn, Zyra","FallenBandit,OmarGod,Tuesday,Zag,Fill","Quas,Wiggily,Selfie,Freeze,Sheep",42:13,75500,24,9,6,1,1,69400,13,3,0,0,0,6100,11,6,6,1,1,NACS-2017-Summer,41
2017-06-22,7.12,Big Gods Jackals,Gold Coin United,red,,"LeBlanc, Jhin, Ashe, Zyra, Fiora","Zac, Kalista, Varus, Galio, Caitlyn","Shen, Gragas, Taliyah, Twitch, Thresh","Rumble, Rek'Sai, Orianna, Xayah, Tahm Kench","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","Solo,Santorin,Fly,Rikara,Madlife",25:19,35400,1,0,0,0,0,52000,12,10,2,1,1,-16600,-11,-10,-2,-1,-1,NACS-2017-Summer,40
2017-06-22,7.12,Delta Fox,eUnited,red,,"LeBlanc, Syndra, Orianna, Caitlyn, Fiora","Zac, Ashe, Jhin, Elise, Kennen","Shen, Rek'Sai, Cassiopeia, Lucian, Bard","Jarvan IV, Gragas, Galio, Varus, Braum","Dyrus,Shiphtur,Voyboy,Imaqtpie,Scarra","Licorice,DanDy,GBM,deftly,Zeyzal",30:27,48400,11,1,1,0,0,65100,26,9,2,1,1,-16700,-15,-8,-1,-1,-1,NACS-2017-Summer,39
2017-06-22,7.12,Gold Coin United,Big Gods Jackals,blue,,"LeBlanc, Orianna, Taliyah, Kennen, Shen","Zac, Morgana, Braum, Thresh, Caitlyn","Rumble, Kha'Zix, Galio, Jhin, Lulu","Renekton, Rek'Sai, Viktor, Xayah, Rakan","Solo,Santorin,Fly,Rikara,Madlife","Cris,SirT,Pekin Woof,fabbbyyy,Baiano",36:46,70000,17,11,4,1,1,60500,9,5,0,0,0,9500,8,6,4,1,1,NACS-2017-Summer,38
2017-06-22,7.12,eUnited,Delta Fox,blue,,"Cassiopeia, Blitzcrank, Bard, Nunu","LeBlanc, Caitlyn, Thresh, Fiora, Zac","Renekton, Elise, Taliyah, Ashe, Galio","Kennen, Rek'Sai, Kassadin, Twitch, Sejuani","Licorice,DanDy,GBM,deftly,Zeyzal","Dyrus,Shiphtur,Voyboy,Imaqtpie,Scarra",26:30,56600,21,10,2,1,1,41900,9,2,0,0,0,14700,12,8,2,1,1,NACS-2017-Summer,37
2017-06-22,7.12,Big Gods Jackals,Gold Coin United,blue,,"LeBlanc, Taliyah, Fiora, Blitzcrank, Thresh","Zac, Shen, Rumble, Galio, Kennen","Kled, Rek'Sai, Viktor, Caitlyn, Karma","Renekton, Elise, Vladimir, Ashe, Zyra","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","Solo,Santorin,Fly,Rikara,Madlife",55:29,99300,23,8,2,0,0,105200,28,8,3,3,1,-5900,-5,0,-1,-3,-1,NACS-2017-Summer,36
2017-06-22,7.12,Delta Fox,eUnited,blue,,"Caitlyn, Fiora, LeBlanc, Thresh, Xayah","Ashe, Elise, Taliyah, Varus, Zac","Kennen, Nunu, Cassiopeia, Jhin, Bard","Renekton, Lee Sin, Lucian, Tristana, Galio","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur","Licorice,DanDy,GBM,deftly,Zeyzal",32:48,65200,26,9,2,1,1,53800,11,3,1,0,0,11400,15,6,1,1,1,NACS-2017-Summer,35
2017-06-21,7.12,Tempo Storm,eUnited,red,,"Fiora, Galio, Kled, LeBlanc, Renekton","Blitzcrank, Cassiopeia, Thresh, Zac, Zyra","Jayce, Elise, Taliyah, Ashe, Bard","Jarvan IV, Lee Sin, Orianna, Caitlyn, Braum","Quas,Wiggily,Selfie,Freeze,Sheep","Licorice,DanDy,GBM,deftly,Zeyzal",43:39,74900,13,3,2,1,0,84800,18,10,2,2,1,-9900,-5,-7,0,-1,-1,NACS-2017-Summer,34
2017-06-21,7.12,Delta Fox,Big Gods Jackals,red,,"Thresh, Fiora, Elise, Karma","Galio, Kennen, Jayce, Zac, Yasuo","Jarvan IV, Rek'Sai, Orianna, Caitlyn, Rakan","Shen, Gragas, Ahri, Xayah, Morgana","Dyrus,Shiphtur,Voyboy,Imaqtpie,Scarra","Cris,SirT,Pekin Woof,fabbbyyy,Baiano",26:42,42100,7,2,0,0,0,54000,19,8,2,1,1,-11900,-12,-6,-2,-1,-1,NACS-2017-Summer,33
2017-06-21,7.12,CLG Academy,Gold Coin United,red,,"LeBlanc, Taliyah, Kalista, Kennen, Elise","Zac, Zyra, Braum, Galio, Caitlyn","Shen, Gragas, Syndra, Jhin, Brand","Rumble, Rek'Sai, Orianna, Xayah, Thresh","FallenBandit,OmarGod,Tuesday,Zag,Fill","Solo,Santorin,Fly,Rikara,Madlife",28:34,41900,6,0,2,0,0,57900,16,8,1,1,1,-16000,-10,-8,1,-1,-1,NACS-2017-Summer,32
2017-06-21,7.12,eUnited,Tempo Storm,blue,,"Thresh, Shen, Swain, Cassiopeia, Caitlyn","Elise, Kled, Renekton, Fiora, Zac","Lucian, Lee Sin, Galio, Tristana, Braum","Illaoi, Gragas, Taliyah, Jhin, Soraka","Licorice,DanDy,GBM,deftly,Zeyzal","Quas,Wiggily,Selfie,Freeze,Sheep",28:39,59300,14,10,2,1,1,41400,1,0,0,0,0,17900,13,10,2,1,1,NACS-2017-Summer,31
2017-06-21,7.12,Gold Coin United,CLG Academy,blue,,"Shen, Jayce, Kha'Zix, Kennen, LeBlanc","Galio, Fiora, Renekton, Zac, Elise","Rumble, Rek'Sai, Taliyah, Caitlyn, Thresh","Gragas, Olaf, Orianna, Varus, Zyra","Solo,Santorin,Fly,Rikara,Madlife","FallenBandit,OmarGod,Tuesday,Zag,Fill",33:37,66200,18,9,2,2,1,51500,7,1,1,0,0,14700,11,8,1,2,1,NACS-2017-Summer,30
2017-06-21,7.12,Tempo Storm,eUnited,blue,,"Fiora, Twisted Fate, LeBlanc, Taliyah, Kled","Zac, Varus, Ashe, Elise, Caitlyn","Galio, Jarvan IV, Orianna, Jhin, Thresh","Camille, Rek'Sai, Syndra, Kennen, Braum","Quas,Wiggily,Selfie,Freeze,Sheep","Licorice,DanDy,GBM,deftly,Zeyzal",35:17,64800,9,11,2,1,1,61000,8,5,1,0,0,3800,1,6,1,1,1,NACS-2017-Summer,29
2017-06-21,7.12,Big Gods Jackals,Delta Fox,blue,,"Fiora, Galio, Zyra, Yasuo, Kennen","Zac, Ahri, Shen, Thresh, Karma","Renekton, Elise, Taliyah, Caitlyn, Braum","Jarvan IV, Rek'Sai, Orianna, Varus, Morgana","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","Dyrus,Shiphtur,Voyboy,Imaqtpie,Scarra",37:34,70600,14,10,3,1,1,59900,11,2,1,0,0,10700,3,8,2,1,1,NACS-2017-Summer,28
2017-06-16,7.11,Big Gods Jackals,Delta Fox,blue,,"Xayah, Karma, Zyra, Jayce, Yasuo","Zac, Shen, Orianna, Galio, Caitlyn","Renekton, Elise, Ahri, Kalista, Thresh","Kennen, Gragas, Vladimir, Ashe, Taliyah","Cris,SirT,Pekin Woof,fabbbyyy,Baiano","Dyrus,Scarra,Voyboy,Imaqtpie,Shiphtur",27:09,55700,21,11,2,1,1,42300,8,1,0,0,0,13400,13,10,2,1,1,NACS-2017-Summer,27
